revision,case,nx,nr,tol,status,initial_inventory_mol,max_abs_residual_mol,relative_max,final_residual_mol,max_rate_mol_s,max_rate_prediction_error_mol_s,max_supplied_residual_mol,max_integrated_rate_closure_mol,quadrature_disagreement_mol,runtime_seconds,error
pr,basic_variable,20,20,1e-10,completed,0.2669565878849998,0.006518391137415203,0.024417420034688227,0.006518391137415203,4.516856015032311e-06,2.8686517737241968e-18,6.755836347315413e-08,1.1702106456632291e-06,1.0480936725410991e-06,2.6599663749802858,
pr,basic_variable,20,80,1e-10,completed,0.2669565878849999,0.006518403339031753,0.02441746574105811,0.006518403339031753,4.515291485481321e-06,8.106588378701385e-18,6.755848993400044e-08,1.2968485983231443e-06,1.0671164740374411e-06,7.431453582947142,
pr,basic_variable,40,40,1e-10,completed,0.2669565878849993,0.00651611804391472,0.024408905191437947,0.00651611804391472,4.511238826809713e-06,3.5311835009986945e-18,6.753480451917088e-08,1.254837076708308e-06,1.0613184642212573e-06,7.719912750064395,
pr,basic_variable,80,20,1e-10,completed,0.2669565878850017,0.0065155374313627945,0.02440673025896453,0.0065155374313627945,4.511379208676326e-06,2.8686517737224195e-18,6.752878689412778e-08,1.1660546267201755e-06,1.0449796764662109e-06,9.31075783399865,
pr,basic_variable,80,80,1e-10,completed,0.26695658788500054,0.006515547012750034,0.024406766150145726,0.006515547012750034,4.5098091805771855e-06,4.9144851599694506e-18,6.75288861981847e-08,1.2920800593662143e-06,1.0640060466183404e-06,29.248054665978998,
pr,dfn_control,20,20,1e-06,completed,0.2669565878849998,3.885780586188048e-15,1.4555852009398522e-14,-3.7192471324942744e-15,2.6139614208358495e-18,2.6139614208358495e-18,3.9968028886505635e-15,3.885780586188048e-15,0.0,2.327814416028559,
pr,dfn_control,20,20,1e-08,completed,0.2669565878849998,3.608224830031759e-15,1.3516148294441485e-14,-3.497202527569243e-15,2.5467144255386815e-18,2.5467144255386815e-18,3.9968028886505635e-15,3.608224830031759e-15,0.0,2.3964019999839365,
pr,dfn_control,20,20,1e-10,completed,0.2669565878849998,3.608224830031759e-15,1.3516148294441485e-14,-3.3861802251067274e-15,2.674678369801237e-18,2.674678369801237e-18,3.9968028886505635e-15,3.608224830031759e-15,0.0,2.576132124988362,
pr,dfn_control,20,80,1e-10,completed,0.2669565878849999,3.47499806707674e-14,1.3017090511262104e-13,3.47499806707674e-14,1.242118757289744e-17,1.242118757289744e-17,3.430589146091734e-14,3.47499806707674e-14,0.0,7.32740049995482,
pr,dfn_control,40,40,1e-10,completed,0.2669565878849993,6.5503158452884236e-15,2.4537007672986125e-14,6.106226635438361e-15,3.1841288615086745e-18,3.1841288615086745e-18,6.827871601444713e-15,6.5503158452884236e-15,0.0,7.739560000016354,
pr,dfn_control,80,20,1e-10,completed,0.2669565878850017,5.495603971894525e-15,2.0586133556149194e-14,-5.495603971894525e-15,2.237990256458069e-18,2.237990256458069e-18,4.718447854656915e-15,5.495603971894525e-15,0.0,8.572691458975896,
pr,dfn_control,80,80,1e-10,completed,0.26695658788500054,3.4638958368304884e-14,1.297550236266379e-13,3.397282455352979e-14,1.2421187572907803e-17,1.2421187572907803e-17,3.3362201889985954e-14,3.4638958368304884e-14,0.0,29.127317250007764,
pr,half,20,20,1e-06,completed,9.754383255148095e-05,1.6396819377929124e-11,1.6809693600336376e-07,-2.2102733529603784e-12,1.982266826234142e-14,8.735027268559972e-22,1.8011975961237134e-10,5.460268767052414e-14,2.550543374379157e-15,1.389105457928963,
pr,half,20,20,1e-08,completed,9.754383255148095e-05,1.6376273069134166e-11,1.6788629932590786e-07,-2.1875746182499663e-12,7.072996968768296e-14,8.883881630492217e-22,1.8042738563446635e-10,6.645988441273096e-13,2.2104141882709445e-13,1.4096141660120338,
pr,half,20,20,1e-10,reproduction_failure,,,,,,,,,,0.2438406670698896,SolverError('IDAGetDky: IDA_BAD_K: The k-th derivative is not available (flag: -25)')
pr,half,20,80,1e-10,reproduction_failure,,,,,,,,,,0.3243020409718156,SolverError('IDAGetDky: IDA_BAD_K: The k-th derivative is not available (flag: -25)')
pr,half,40,40,1e-10,completed,9.754383255148049e-05,3.4272396220644524e-12,3.5135379986793795e-08,1.194036236800821e-12,3.996094709549655e-15,1.4525291556431166e-21,5.882102561578502e-11,1.294764333617575e-14,4.844053930307203e-15,4.714710957952775,
pr,half,80,20,1e-10,reproduction_failure,,,,,,,,,,0.3501915829256177,SolverError('IDA_ERR_FAIL: Error test failures occurred too many times during one step or minimum step size was reached')
pr,half,80,80,1e-10,reproduction_failure,,,,,,,,,,0.6838493330869824,SolverError('IDA_CONV_FAIL: Convergence test failures occurred too many times during one step or with |h| = hmin')
